competition_id,event_id,round_type_id,group_id,scramble_count
APJBLDOpen2015,333,1,A,4
APJBLDOpen2015,333,1,B,4
APJBLDOpen2015,333,1,C,4
APJBLDOpen2015,333,1,D,4
APJBLDOpen2015,333,1,E,4
APJBLDOpen2015,333,1,F,4
APJBLDOpen2015,333,1,G,4
APJBLDOpen2015,333,1,H,4
APJBLDOpen2015,333,1,I,4
APJBLDOpen2015,333,1,J,4
APJBLDOpen2015,333,1,K,4
APJBLDOpen2015,333,1,L,4
APJBLDOpen2015,333,1,M,4
APJBLDOpen2015,333,1,N,4
APJBLDOpen2015,333,1,O,4
AngujaOpen2017,222,2,B,5
AngujaOpen2017,222,d,A,5
AngujaOpen2017,222,f,A,5
AngujaOpen2017,333,2,B,5
AngujaOpen2017,clock,c,A,5
AngujaOpen2017,clock,c,B,5
BayAreaSpeedcubin92016,222,f,A,1
BayAreaSpeedcubin92016,222,f,B,1
BayAreaSpeedcubin92016,222,f,C,1
BayAreaSpeedcubin92016,222,f,D,1
BayAreaSpeedcubin92016,222,f,E,1
BayAreaSpeedcubin92016,222,f,F,1
BayAreaSpeedcubin92016,222,f,G,1
BayAreaSpeedcubin92016,222,f,H,1
BayAreaSpeedcubin92016,222,f,I,1
BrainStudioWinter2015,333,1,A,4
BrainStudioWinter2015,333,1,B,4
BrainStudioWinter2015,333,1,C,4
BrainStudioWinter2015,333,1,D,4
BrainStudioWinter2015,333,1,E,4
BrainStudioWinter2015,333,1,F,4
BrainStudioWinter2015,333,1,G,4
BrainStudioWinter2015,333,1,H,4
BrainStudioWinter2015,333,1,I,4
BrainStudioWinter2015,333,1,J,4
BrainStudioWinter2015,333,1,K,4
BrainStudioWinter2015,333,1,L,4
BrainStudioWinter2015,333,1,M,4
BrainStudioWinter2015,333,1,N,4
BrainStudioWinter2015,333,1,O,4
CGJVSpeedcubingOpen2015,333,f,A,4
CGJVSpeedcubingOpen2015,333,f,B,4
CSPOpen2015,444,1,A,4
CSPOpen2015,444,1,B,4
CSPOpen2015,444,1,C,4
CSPOpen2015,444,1,D,4
CubingUndertheStars2018,222,f,A,3
FLIPOpen2015,sq1,f,A,1
HaNoiOpen2016,444,f,A,3
HaNoiOpen2016,444,f,B,3
HaNoiOpen2016,444,f,C,3
HaNoiOpen2016,444,f,D,3
HaNoiOpen2016,444,f,E,3
HaNoiOpen2016,444,f,F,3
HaNoiOpen2016,444,f,G,3
HaNoiOpen2016,555,f,A,3
HaNoiOpen2016,555,f,B,3
HaNoiOpen2016,555,f,C,3
HaNoiOpen2016,555,f,D,3
HaNoiOpen2016,555,f,E,3
HernandoSummer2020,222,f,A,3
HernandoSummer2020,222,f,B,3
KharkivSpecial2014,minx,d,A,5
KharkivSpecial2014,minx,f,A,5
KharkivSpecial2014,skewb,1,A,5
MumbaiOpen2015,333,1,A,4
MumbaiOpen2015,333,1,B,4
MumbaiOpen2015,333,1,C,4
MumbaiOpen2015,333,1,D,4
MumbaiOpen2015,333,1,E,4
MumbaiOpen2015,333,1,F,4
MumbaiOpen2015,333,1,G,4
MumbaiOpen2015,333,1,H,4
NaftusiaOpen2014,222,1,A,5
NaftusiaOpen2014,222,1,B,5
RacetheClock2017,333,2,A,3
SacCubingII2017,minx,f,A,3
SacCubingII2017,minx,f,B,3
SacCubingII2017,minx,f,C,3
SvetlyeGoryOpen2017,333,3,A,3
VeranoCubero2015,555,f,A,5
YuzhnoukrainskOpen2015,222,1,A,5
YuzhnoukrainskOpen2015,pyram,f,B,5
YuzhnoukrainskOpen2015,skewb,f,A,5
ZhejiangUniversityOpen2014,333,f,A,5
ZhejiangUniversityOpen2014,333oh,d,A,5
ZhejiangUniversityOpen2014,333oh,f,A,5
ZhejiangUniversityOpen2014,444,c,A,5
ZhejiangUniversityOpen2014,555,c,A,5
ZhejiangUniversityOpen2014,pyram,c,A,5
ZhejiangUniversityOpen2014,skewb,c,A,5
ZhengzhouOpen2014,333,1,A,5
ZhengzhouOpen2014,333,2,A,5
ZhengzhouOpen2014,333,f,A,5
ZhengzhouOpen2014,333oh,d,A,5
