competitionId,roundTypeId,groupId,scrambleNum,Scramble Count
AtlanticOpenSpecial2017,f,A,2,2
GlasgowAutumnSBO2024,f,A,1,2
AustralianNationals2015,f,A,3,3
4BLDinaMadisonHall2023,f,B,1,3
AtlanticOpenSpecial2015,f,A,1,3
AtlanticOpenSpecial2017,f,A,1,4
HilliardHippocampusXIV2024,f,C,1,4
PlentziaOpen2014,f,A,1,4
AtlanticOpenSpecial2015,f,A,2,4
HobartWinter2024,f,B,1,4
EstonianOpen2014,f,A,1,4
UralWinter2017,f,A,2,5
UralWinter2017,f,A,3,5
UralWinter2017,f,A,1,5
MadridSpringOpen2014,f,A,2,5
DogeOpen2016,f,A,1,5
ManausCuboPlazaOpenII2019,f,A,1,5
CampeonatodePortugal2015,f,A,1,5
YJMoscowSpecial2019,f,A,1,5
UralAutumn2016,f,A,3,5
MoroccanNationals2024,f,B,1,5
PleaseBeQuietNairobi2024,f,A,1,5
PoliMiMentalBreakdown2019,f,C,1,5
UralOpen2017,f,A,3,5
UralOpen2017,f,A,1,5
UralOpen2017,f,A,2,5
PoliMiMentalBreakdown2019,f,C,2,5
SideEventsBulgaria2024,f,A,1,5
UralAutumn2016,f,A,1,5
UralAutumn2016,f,A,2,5
SideEventsBulgaria2024,f,B,1,5
UralOpen2016,f,A,1,5
UnifranzSantaCruz2019,f,A,2,6
UnifranzSantaCruz2019,f,A,1,6
SlowDownPerth2022,f,B,1,6
SlowDownPerth2022,f,A,1,6
ITeresinaBrightCube2024,f,A,1,6
MariupolOpen2018,f,B,1,6
ChachyaOpen2017,f,A,1,6
ChachyaOpen2017,f,A,2,6
EstonianOpen2016,f,A,1,6
EcuadorCubing2024,f,A,1,6
EstonianOpen2015,f,A,1,6
VillaRosita2020,f,A,1,6
OpentheDoorMoselle2024,f,A,1,6
HonoluluHippocampus2024,f,B,1,6
RacetheClock2017,f,A,1,6
PinoyOlympics2015,f,A,1,6
SPOpen2014,f,A,1,6
NovosibirskTechLibrary2019,f,A,1,7
Juhannus2024,f,A,1,7
JLFinalKebabpizza2023,f,A,1,7
BarnaulOpen2017,f,A,1,7
BarnaulOpen2017,f,A,2,7
YJChelyabinskSpecial2019,f,A,1,7
FrenchChampionship2024,f,A,1,7
GlasgowAutumn2023,f,B,1,7
BayAreaSpeedcubin52015,f,A,2,7
YJChelyabinskSpecial2019,f,A,2,7
BeijingLongEvents2015,f,A,1,7
Juhannus2024,f,A,2,7
GenTriasSpeedcubingOpenIII2024,f,B,1,7
MichiganCubingClubBeta2016,f,A,1,7
BarnaulOpen2017,f,A,3,7
LuziceOpen2023,f,A,1,7
MadridSpringOpen2014,f,A,1,8
FinallyTunisOpen2018,f,A,1,8
PodolianOpen2024,f,C,1,8
BayAreaSpeedcubin42014,f,A,3,8
PodolianOpen2024,f,B,1,8
TartuOpen2016,f,A,1,8
SPOpen2014,f,A,2,8
SalgadoOpen2016,f,A,1,9
ChinaChampionship2019,f,A,1,9
FMCJuazeiro2023,f,A,1,10
GernikaOpen2014,f,A,2,10
MedanOpen2015,f,A,3,10
PhilippineOpen2015,f,A,1,10
VenezuelaNationals2015,f,A,1,10
ShriRamCubingChallenge2024,f,A,1,10
TallinnOpen2024,f,A,1,10
PoliMiMentalBreakdown2019,f,B,1,10
SumakKawsay2019,f,C,1,10
AltaiSpecial2019,f,A,2,10
PoliMiMentalBreakdown2019,f,B,2,10
AbrakadabraMagic2015,f,A,1,10
GuateMayaOpen2014,f,A,1,10
WhiteCityCubing2019,f,A,1,10
YoRubik20SC2017,f,A,1,10
NepalOpen2018,f,A,1,10
BrasiliaSpring2018,f,A,1,10
BrasiliaSpring2018,f,A,2,10
JawaTimurOpen2017,f,A,1,10
VillaCarlosPazOtono2019,f,A,1,10
BayAreaSpeedcubin42014,f,A,1,10
BayAreaSpeedcubin42014,f,A,2,10
AltaiSpecial2019,f,A,1,10
SumakKawsay2019,f,A,1,10
SumakKawsay2019,f,B,1,10
FMCJuazeiro2023,f,B,1,10
