competition_id,event_id,round_type_id,group_id,Scramble Count
mcubesWinterOpen2022,skewb,f,C,2
100Merito2018,222,1,A,2
100Merito2018,222,1,B,2
100Merito2018,222,f,A,2
100Merito2018,222,f,B,2
100Merito2018,333,1,A,2
100Merito2018,333,1,B,2
100Merito2018,333,2,A,2
100Merito2018,333,2,B,2
100Merito2018,333,f,A,2
100Merito2018,333,f,B,2
100Merito2018,333bf,f,A,2
100Merito2018,333ft,c,A,2
100Merito2018,444,c,A,2
mcubesWinterOpen2022,333oh,d,B,2
mcubesWinterOpen2022,333oh,d,A,2
mcubesWinterOpen2022,333bf,f,B,2
mcubesWinterOpen2022,333bf,f,A,2
mcubesWinterOpen2022,333,f,A,2
mcubesWinterOpen2022,333,2,B,2
mcubesWinterOpen2022,333,2,A,2
mcubesWinterOpen2022,333,1,E,2
mcubesWinterOpen2022,333,1,D,2
mcubesWinterOpen2022,333,1,C,2
mcubesWinterOpen2022,333,1,B,2
mcubesWinterOpen2022,333,1,A,2
mcubesWinterOpen2022,222,f,A,2
mcubesWinterOpen2022,222,1,C,2
mcubesWinterOpen2022,222,1,B,2
mcubesWinterOpen2022,222,1,A,2
100YearsRepublicIstanbul2023,222,1,B,2
100YearsRepublicIstanbul2023,222,1,A,2
100YearsRepublicAnkara2023,sq1,f,A,2
100YearsRepublicAnkara2023,skewb,f,B,2
100YearsRepublicAnkara2023,skewb,f,A,2
100YearsRepublicAnkara2023,pyram,f,B,2
100YearsRepublicAnkara2023,pyram,f,A,2
100YearsRepublicAnkara2023,clock,f,B,2
100YearsRepublicAnkara2023,clock,f,A,2
100YearsRepublicAnkara2023,555,f,B,2
100YearsRepublicAnkara2023,555,f,A,2
100YearsRepublicAnkara2023,444,f,B,2
100YearsRepublicAnkara2023,444,f,A,2
100YearsRepublicAnkara2023,333oh,c,B,2
100YearsRepublicAnkara2023,333oh,c,A,2
100YearsRepublicAnkara2023,333,f,A,2
100YearsRepublicIstanbul2023,444,f,A,2
100YearsRepublicIstanbul2023,444,d,B,2
100YearsRepublicIstanbul2023,444,d,A,2
100YearsRepublicIstanbul2023,333oh,f,A,2
100YearsRepublicIstanbul2023,333oh,1,B,2
100YearsRepublicIstanbul2023,333oh,1,A,2
100YearsRepublicIstanbul2023,333bf,f,A,2
100YearsRepublicIstanbul2023,333,f,A,2
100YearsRepublicIstanbul2023,333,2,B,2
100YearsRepublicIstanbul2023,333,2,A,2
100YearsRepublicIstanbul2023,333,1,C,2
100YearsRepublicIstanbul2023,333,1,B,2
100YearsRepublicIstanbul2023,333,1,A,2
100YearsRepublicIstanbul2023,222,f,A,2
100YearsRepublicIstanbul2023,222,2,B,2
100YearsRepublicIstanbul2023,222,2,A,2
100YilMBACubeWeekend2023,333,2,A,2
100YilMBACubeWeekend2023,333,1,B,2
100YilMBACubeWeekend2023,333,1,A,2
100YilMBACubeWeekend2023,222,f,A,2
100YilMBACubeWeekend2023,222,2,B,2
100YilMBACubeWeekend2023,222,2,A,2
100YilMBACubeWeekend2023,222,1,C,2
100YilMBACubeWeekend2023,222,1,B,2
100YilMBACubeWeekend2023,222,1,A,2
100YearsRepublicIstanbul2023,sq1,c,A,2
100YearsRepublicIstanbul2023,skewb,f,B,2
100YearsRepublicIstanbul2023,skewb,f,A,2
100YearsRepublicIstanbul2023,pyram,f,B,2
100YearsRepublicIstanbul2023,pyram,f,A,2
100YearsRepublicIstanbul2023,clock,f,A,2
100YearsRepublicIstanbul2023,555,c,A,2
100YilMBACubeWeekend2023,minx,c,A,2
100YilMBACubeWeekend2023,clock,f,A,2
100YilMBACubeWeekend2023,777,f,B,2
100YilMBACubeWeekend2023,777,f,A,2
100YilMBACubeWeekend2023,666,f,B,2
100YilMBACubeWeekend2023,666,f,A,2
100YilMBACubeWeekend2023,555,c,A,2
100YilMBACubeWeekend2023,444,d,B,2
100YilMBACubeWeekend2023,444,d,A,2
100YilMBACubeWeekend2023,444,c,A,2
100YilMBACubeWeekend2023,333oh,f,A,2
100YilMBACubeWeekend2023,333oh,d,B,2
100YilMBACubeWeekend2023,333oh,d,A,2
100YilMBACubeWeekend2023,333bf,f,A,2
100YilMBACubeWeekend2023,333,f,A,2
100YilMBACubeWeekend2023,333,2,B,2
10JohrWilerWurfelfast2024,333bf,f,B,2
10JohrWilerWurfelfast2024,333bf,f,A,2
10JohrWilerWurfelfast2024,333,f,C,2
10JohrWilerWurfelfast2024,333,f,B,2
10JohrWilerWurfelfast2024,333,f,A,2
10JohrWilerWurfelfast2024,333,1,D,2
