competitionId,eventId,roundTypeId,groupId,Scramble Count
SoutheastChampionship2019,sq1,f,A,11
RiseofCubersTagum2016,333,2,A,10
RiseofCubersTagum2016,333,f,A,10
RiseofCubersTagum2016,skewb,f,A,10
RiseofCubersTagum2016,333oh,c,A,10
RiseofCubersTagum2016,333oh,c,B,10
RiseofCubersTagum2016,pyram,f,B,10
RiseofCubersTagum2016,222,c,B,10
Paraguay2016,333,1,A,10
Paraguay2016,333,1,B,10
RiseofCubersTagum2016,pyram,f,A,10
RiseofCubersTagum2016,444,f,A,10
RiseofCubersTagum2016,444,f,B,10
RiseofCubersTagum2016,333,2,B,10
Paraguay2016,333,2,B,10
RiseofCubersTagum2016,555,f,A,10
RiseofCubersTagum2016,555,f,B,10
RiseofCubersTagum2016,minx,f,A,10
Paraguay2016,333,2,A,10
Paraguay2016,222,1,B,10
Paraguay2016,333,1,D,10
RiseofCubersTagum2016,minx,f,B,10
Paraguay2016,222,1,A,10
RiseofCubersTagum2016,222,c,A,10
Paraguay2016,333,1,C,10
NorwichSummer2022,222,d,A,9
SemarangReuniYuk2015,555,f,B,9
SemarangReuniYuk2015,555,f,A,9
SemarangReuniYuk2015,444,c,B,9
RioMarFortalezaII2023,333,1,A,9
SemarangReuniYuk2015,222,f,A,9
WakefieldSummer2024,clock,d,B,9
SemarangReuniYuk2015,444,c,A,9
SemarangReuniYuk2015,333oh,c,B,9
SemarangReuniYuk2015,333oh,c,A,9
IguatemiFortaleza2024,333,1,C,9
SemarangReuniYuk2015,333,f,A,9
SemarangReuniYuk2015,333,1,B,9
SemarangReuniYuk2015,333,1,A,9
RenoSpring2018,clock,f,B,9
SemarangReuniYuk2015,222,f,B,9
RenoSpring2018,clock,f,A,9
ClassicCity4Charity2017,clock,1,A,8
ClassicCity4Charity2017,clock,f,A,8
GACubers2018,clock,f,A,8
GACubers2018,clock,1,B,8
TagumCityOpen2016,222,1,A,8
IcelandicNationals2021,333,1,A,8
SumerSpeedCubeOlympics2016,skewb,f,A,8
TagumCityOpen2016,222,1,B,8
TagumCityOpen2016,222,f,A,8
TagumCityOpen2016,333,1,B,8
SumerSpeedCubeOlympics2016,skewb,1,A,8
IkastCubingKaos2024,pyram,f,A,8
ClassicCity4Charity2017,clock,1,B,8
AustralianNationals2023,sq1,2,A,8
HampshireSpring2023,222,d,C,8
StevenageNewcomersSunday2024,skewb,f,C,8
RheinlandPfalzOpen2024,skewb,f,A,8
NacionalesUruguayas2023,pyram,d,B,8
IdahoSummerB2021,sq1,c,B,8
IceCubingSzczecinek2024,222,1,A,8
EdinburghSummerOpen2024,333oh,c,C,8
GACubers2018,clock,1,A,8
PatioCubikOpen2024,222,e,B,8
UtahsCaliforniaGullExtravaga2022,222,1,D,8
NorthernKentucky2024,sq1,d,A,8
SilesianCubingPszczyna2023,333oh,f,A,8
VolunteerStateCubing2024,333oh,d,C,8
BeheshtiCubingDays2014,222,1,A,8
BeheshtiCubingDays2014,skewb,f,A,8
SumerSpeedCubeOlympics2016,222,1,B,8
SumerSpeedCubeOlympics2016,222,1,A,8
SturgeonBayBigCubes2024,333,1,A,8
ZeelandOpen2016,clock,f,A,8
IguatemiFortalezaII2024,333oh,c,B,8
JonkopingSideEvents2019,skewb,1,B,8
ThailandChampionship2024,333,1,A,8
ITeresinaBrightCube2024,skewb,c,A,8
KuboOpen2016,sq1,f,A,8
KuboOpen2016,skewb,f,A,8
KuboOpen2016,pyram,f,B,8
ItsSarzanaOclock2023,clock,f,A,8
CajunCubeClash2023,333,1,C,8
TagumCityOpen2016,333,1,A,8
CzechOpen2024,clock,d,B,8
RidgefieldSpring2024,pyram,1,B,8
Cube4funBelzyce2022,skewb,f,B,8
ClassicCityCloser2018,clock,f,A,8
ClassicCityCloser2018,clock,f,B,8
PalmerstonNorth2016,222,1,A,8
PalmerstonNorth2016,222,1,B,8
OC2024,clock,f,A,8
MinnesotaChampionship2024,skewb,f,A,8
SuankularbOpen2024,clock,2,B,8
CubinginHD2024,222,1,B,8
RioMarKennedyFortaleza2024,222,2,C,8
LeicestershireAutumn2024,skewb,f,A,8
KuboOpen2016,444,1,A,8
VarshaRituCubeOpen2022,pyram,f,A,8
